  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  2.00	-1.04436579e+00	-6.86020798e-01	+1.86018799e+00	+2.70195159e+00	+2.000000e+00
  2.01	-1.05122400e+00	-6.38094422e-01	+1.88721733e+00	+2.93781981e+00	+2.000000e+00
  2.02	-1.05760292e+00	-5.89543409e-01	+1.91660540e+00	+3.17466465e+00	+2.000000e+00
  2.03	-1.06349630e+00	-5.40289079e-01	+1.94836196e+00	+3.41250781e+00	+2.000000e+00
  2.04	-1.06889711e+00	-4.90262794e-01	+1.98249698e+00	+3.65133534e+00	+2.000000e+00
  2.05	-1.07379762e+00	-4.39408555e-01	+2.01902033e+00	+3.89108938e+00	+2.000000e+00
  2.06	-1.07818955e+00	-3.87686128e-01	+2.05794124e+00	+4.13165776e+00	+2.000000e+00
  2.07	-1.08206422e+00	-3.35074755e-01	+2.09926787e+00	+4.37286110e+00	+2.000000e+00
  2.08	-1.08541274e+00	-2.81577498e-01	+2.14300655e+00	+4.61443703e+00	+2.000000e+00
  2.09	-1.08822625e+00	-2.27226234e-01	+2.18916099e+00	+4.85602120e+00	+2.000000e+00
  2.10	-1.09049621e+00	-1.72087300e-01	+2.23773124e+00	+5.09712502e+00	+2.000000e+00
  2.11	-1.09221476e+00	-1.16267713e-01	+2.28871249e+00	+5.33711014e+00	+2.000000e+00
  2.12	-1.09337509e+00	-5.99217853e-02	+2.34209351e+00	+5.57516018e+00	+2.000000e+00
  2.13	-1.09397194e+00	-3.25784681e-03	+2.39785491e+00	+5.81025084e+00	+2.000000e+00
  2.14	-1.09400216e+00	+5.34554314e-02	+2.45596704e+00	+6.04112036e+00	+2.000000e+00
  2.15	-1.09346525e+00	+1.09883825e-01	+2.51638762e+00	+6.26624329e+00	+2.000000e+00
  2.16	-1.09236409e+00	+1.65624456e-01	+2.57905912e+00	+6.48381204e+00	+2.000000e+00
  2.17	-1.09070557e+00	+2.20206063e-01	+2.64390591e+00	+6.69173170e+00	+2.000000e+00
  2.18	-1.08850131e+00	+2.73094102e-01	+2.71083139e+00	+6.88763516e+00	+2.000000e+00
  2.19	-1.08576826e+00	+3.23702188e-01	+2.77971529e+00	+7.06892529e+00	+2.000000e+00
  2.20	-1.08252925e+00	+3.71411091e-01	+2.85041138e+00	+7.23285058e+00	+2.000000e+00
  2.21	-1.07881330e+00	+4.15595854e-01	+2.92274587e+00	+7.37661715e+00	+2.000000e+00
  2.22	-1.07465567e+00	+4.55660391e-01	+2.99651708e+00	+7.49753495e+00	+2.000000e+00
  2.23	-1.07009759e+00	+4.91077374e-01	+3.07149642e+00	+7.59318874e+00	+2.000000e+00
  2.24	-1.06518555e+00	+5.21429484e-01	+3.14743116e+00	+7.66161645e+00	+2.000000e+00
  2.25	-1.05997021e+00	+5.46446794e-01	+3.22404899e+00	+7.70147117e+00	+2.000000e+00
  2.26	-1.05450493e+00	+5.66034559e-01	+3.30106415e+00	+7.71214120e+00	+2.000000e+00
  2.27	-1.04884399e+00	+5.80286626e-01	+3.37818479e+00	+7.69380638e+00	+2.000000e+00
  2.28	-1.04304074e+00	+5.89481819e-01	+3.45512093e+00	+7.64741953e+00	+2.000000e+00
  2.29	-1.03714573e+00	+5.94063683e-01	+3.53159209e+00	+7.57461534e+00	+2.000000e+00
  2.30	-1.03120507e+00	+5.94606896e-01	+3.60733420e+00	+7.47756252e+00	+2.000000e+00
  2.31	-1.02525912e+00	+5.91775709e-01	+3.68210488e+00	+7.35878415e+00	+2.000000e+00
  2.32	-1.01934159e+00	+5.86280383e-01	+3.75568698e+00	+7.22097315e+00	+2.000000e+00
  2.33	-1.01347910e+00	+5.78836907e-01	+3.82789029e+00	+7.06682597e+00	+2.000000e+00
  2.34	-1.00769109e+00	+5.70133620e-01	+3.89855155e+00	+6.89890988e+00	+2.000000e+00
  2.35	-1.00199014e+00	+5.60806499e-01	+3.96753318e+00	+6.71957007e+00	+2.000000e+00
  2.36	-9.96382471e-01	+5.51423210e-01	+4.03472102e+00	+6.53087585e+00	+2.000000e+00
  2.37	-9.90868612e-01	+5.42474885e-01	+4.10002160e+00	+6.33459983e+00	+2.000000e+00
  2.38	-9.85444200e-01	+5.34374010e-01	+4.16335916e+00	+6.13222233e+00	+2.000000e+00
  2.39	-9.80100749e-01	+5.27456705e-01	+4.22467275e+00	+5.92495266e+00	+2.000000e+00
  2.40	-9.74826409e-01	+5.21987821e-01	+4.28391348e+00	+5.71376021e+00	+2.000000e+00
  2.41	-9.69606690e-01	+5.18167589e-01	+4.34104215e+00	+5.49940981e+00	+2.000000e+00
  2.42	-9.64425099e-01	+5.16138912e-01	+4.39602721e+00	+5.28249739e+00	+2.000000e+00
  2.43	-9.59263716e-01	+5.15994671e-01	+4.44884306e+00	+5.06348347e+00	+2.000000e+00
  2.44	-9.54103695e-01	+5.17784664e-01	+4.49946869e+00	+4.84272317e+00	+2.000000e+00
  2.45	-9.48925693e-01	+5.21521994e-01	+4.54788667e+00	+4.62049179e+00	+2.000000e+00
  2.46	-9.43710237e-01	+5.27188811e-01	+4.59408227e+00	+4.39700629e+00	+2.000000e+00
  2.47	-9.38438034e-01	+5.34741417e-01	+4.63804298e+00	+4.17244239e+00	+2.000000e+00
  2.48	-9.33090229e-01	+5.44114773e-01	+4.67975801e+00	+3.94694807e+00	+2.000000e+00
  2.49	-9.27648619e-01	+5.55226452e-01	+4.71921806e+00	+3.72065363e+00	+2.000000e+00
  2.50	-9.22095823e-01	+5.67980120e-01	+4.75641514e+00	+3.49367894e+00	+2.000000e+00
  2.51	-9.16415426e-01	+5.82268581e-01	+4.79134245e+00	+3.26613838e+00	+2.000000e+00
  2.52	-9.10592086e-01	+5.97976460e-01	+4.82399433e+00	+3.03814371e+00	+2.000000e+00
  2.53	-9.04611613e-01	+6.14982535e-01	+4.85436625e+00	+2.80980559e+00	+2.000000e+00
